PAIS,A1,S1,A2,S2,A3,S3,A4,S4,A5,S5,A6,S6,A7,S7,A8,S8,A9,S9,A10,S10,A11,S11,A12,S12,A13,S13,A14,S14,A15,S15,A16,S16,A17,S17,A18,S18,A19,S19,A20,S20,A21,S21
PE,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00
PE,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00
PE,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00
PE,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00
PE,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00
PE,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00
PE,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00
PE,0.35,0.00,0.35,0.00,0.35,0.00,0.35,0.00,0.35,0.00,0.35,0.00,0.35,0.00,0.35,0.50,0.35,0.00,0.35,0.00,0.35,0.00,0.35,0.00,0.35,0.00,0.35,0.00,0.35,0.00,0.35,0.00,0.35,0.50,0.35,0.00,0.35,0.50,0.35,0.50,0.35,0.00
PE,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.60,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.60,0.36,0.00,0.36,0.60,0.36,0.60,0.36,0.00
PE,0.37,0.00,0.37,0.50,0.37,0.00,0.37,0.00,0.37,0.00,0.37,0.00,0.37,0.00,0.37,0.70,0.37,0.00,0.37,0.00,0.37,0.00,0.37,0.00,0.37,0.00,0.37,0.00,0.37,0.00,0.37,0.00,0.37,0.70,0.37,0.00,0.37,0.70,0.37,0.70,0.37,0.00
PE,0.38,0.00,0.38,0.60,0.38,0.00,0.38,0.00,0.38,0.00,0.38,0.00,0.38,0.00,0.38,0.80,0.38,0.00,0.38,0.00,0.38,0.00,0.38,0.00,0.38,0.00,0.38,0.00,0.38,0.00,0.38,0.00,0.38,0.80,0.38,0.00,0.38,0.80,0.38,0.80,0.38,0.00
PE,0.39,0.00,0.39,0.70,0.39,0.00,0.39,0.00,0.39,0.00,0.39,0.00,0.39,0.00,0.39,0.90,0.39,0.00,0.39,0.00,0.39,0.00,0.39,0.00,0.39,0.00,0.39,0.00,0.39,0.00,0.39,0.00,0.39,0.90,0.39,0.50,0.39,0.90,0.39,0.90,0.39,0.00
PE,0.40,0.00,0.40,0.80,0.40,0.00,0.40,0.00,0.40,0.00,0.40,0.00,0.40,0.50,0.40,1.00,0.40,0.00,0.40,0.00,0.40,0.00,0.40,0.00,0.40,0.00,0.40,0.00,0.40,0.00,0.40,0.00,0.40,1.00,0.40,0.60,0.40,1.00,0.40,1.00,0.40,0.00
PE,0.41,0.00,0.41,0.90,0.41,0.00,0.41,0.00,0.41,0.00,0.41,0.00,0.41,0.60,0.41,1.10,0.41,0.00,0.41,0.00,0.41,0.00,0.41,0.00,0.41,0.00,0.41,0.00,0.41,0.00,0.41,0.00,0.41,1.10,0.41,0.70,0.41,1.10,0.41,1.10,0.41,0.00
PE,0.42,0.00,0.42,1.00,0.42,0.00,0.42,0.00,0.42,0.00,0.42,0.00,0.42,0.70,0.42,1.20,0.42,0.00,0.42,0.00,0.42,0.00,0.42,0.00,0.42,0.00,0.42,0.00,0.42,0.00,0.42,0.00,0.42,1.20,0.42,0.80,0.42,1.20,0.42,1.20,0.42,0.00
PE,0.43,0.00,0.43,1.10,0.43,0.00,0.43,0.00,0.43,0.00,0.43,0.00,0.43,0.80,0.43,1.30,0.43,0.00,0.43,0.00,0.43,0.00,0.43,0.00,0.43,0.00,0.43,0.00,0.43,0.00,0.43,0.00,0.43,1.30,0.43,0.90,0.43,1.30,0.43,1.30,0.43,0.00
PE,0.44,0.00,0.44,1.20,0.44,0.00,0.44,0.00,0.44,0.00,0.44,0.00,0.44,0.90,0.44,1.40,0.44,0.00,0.44,0.00,0.44,0.00,0.44,0.00,0.44,0.00,0.44,0.00,0.44,0.00,0.44,0.00,0.44,1.40,0.44,1.00,0.44,1.40,0.44,1.40,0.44,0.00
PE,0.45,0.00,0.45,1.30,0.45,0.00,0.45,0.00,0.45,0.00,0.45,0.00,0.45,1.00,0.45,1.50,0.45,0.00,0.45,0.00,0.45,0.00,0.45,0.00,0.45,0.00,0.45,0.00,0.45,0.00,0.45,0.00,0.45,1.50,0.45,1.10,0.45,1.50,0.45,1.50,0.45,0.00
PE,0.46,0.00,0.46,1.40,0.46,0.00,0.46,0.00,0.46,0.00,0.46,0.00,0.46,1.10,0.46,1.60,0.46,0.00,0.46,0.00,0.46,0.00,0.46,0.00,0.46,0.00,0.46,0.00,0.46,0.00,0.46,0.00,0.46,1.60,0.46,1.20,0.46,1.60,0.46,1.60,0.46,0.00
PE,0.47,0.00,0.47,1.50,0.47,0.00,0.47,0.00,0.47,0.00,0.47,0.00,0.47,1.20,0.47,1.70,0.47,0.00,0.47,0.00,0.47,0.00,0.47,0.00,0.47,0.00,0.47,0.00,0.47,0.00,0.47,0.00,0.47,1.70,0.47,1.30,0.47,1.70,0.47,1.70,0.47,0.00
PE,0.48,0.00,0.48,1.60,0.48,0.00,0.48,0.00,0.48,0.00,0.48,0.00,0.48,1.30,0.48,1.80,0.48,0.00,0.48,0.00,0.48,0.00,0.48,0.00,0.48,0.00,0.48,0.50,0.48,0.00,0.48,0.00,0.48,1.80,0.48,1.40,0.48,1.80,0.48,1.80,0.48,0.00
PE,0.49,0.00,0.49,1.70,0.49,0.00,0.49,0.00,0.49,0.00,0.49,0.00,0.49,1.40,0.49,1.90,0.49,0.00,0.49,0.00,0.49,0.00,0.49,0.00,0.49,0.00,0.49,0.60,0.49,0.00,0.49,0.00,0.49,1.90,0.49,1.50,0.49,1.90,0.49,1.90,0.49,0.00
PE,0.50,0.00,0.50,1.80,0.50,0.00,0.50,0.00,0.50,0.00,0.50,0.00,0.50,1.50,0.50,2.00,0.50,0.00,0.50,0.00,0.50,0.00,0.50,0.00,0.50,0.00,0.50,0.70,0.50,0.00,0.50,0.00,0.50,2.00,0.50,1.60,0.50,2.00,0.50,2.00,0.50,0.00
PE,0.51,0.00,0.51,1.90,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,1.60,0.51,2.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.80,0.51,0.00,0.51,0.00,0.51,2.00,0.51,1.70,0.51,2.00,0.51,2.00,0.51,0.00
PE,0.52,0.00,0.52,2.00,0.52,0.00,0.52,0.00,0.52,0.00,0.52,0.50,0.52,1.70,0.52,2.00,0.52,0.00,0.52,0.00,0.52,0.00,0.52,0.00,0.52,0.00,0.52,0.90,0.52,0.00,0.52,0.00,0.52,2.00,0.52,1.80,0.52,2.00,0.52,2.00,0.52,0.00
PE,0.53,0.00,0.53,2.00,0.53,0.00,0.53,0.00,0.53,0.00,0.53,0.60,0.53,1.80,0.53,2.00,0.53,0.00,0.53,0.00,0.53,0.00,0.53,0.00,0.53,0.00,0.53,1.00,0.53,0.00,0.53,0.00,0.53,2.00,0.53,1.90,0.53,2.00,0.53,2.00,0.53,0.00
PE,0.54,0.00,0.54,2.00,0.54,0.00,0.54,0.00,0.54,0.00,0.54,0.70,0.54,1.90,0.54,2.00,0.54,0.00,0.54,0.00,0.54,0.00,0.54,0.00,0.54,0.00,0.54,1.10,0.54,0.00,0.54,0.00,0.54,2.00,0.54,2.00,0.54,2.00,0.54,2.00,0.54,0.00
PE,0.55,0.50,0.55,2.00,0.55,0.00,0.55,0.00,0.55,0.00,0.55,0.80,0.55,2.00,0.55,2.00,0.55,0.00,0.55,0.00,0.55,0.00,0.55,0.00,0.55,0.00,0.55,1.20,0.55,0.00,0.55,0.00,0.55,2.00,0.55,2.00,0.55,2.00,0.55,2.00,0.55,0.00
