pais,articulo,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25
PE,599494,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599533,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599534,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599538,,,,,,,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,,,,,,,,,,
PE,599546,,,,,,,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,,,,,,,,,,
PE,599547,,,,,,,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,,,,,,,,,,
PE,599628,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599661,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599664,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599666,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599668,,,,,,,,,,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,,,,,,
PE,599693,,,,,,,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,,,,,,,,,,
PE,599723,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599773,,,,,,,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,,,,,,,,,,
PE,599790,,,,,,,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,,,,,,,,,,
PE,599800,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599840,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599868,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599926,,,,,,,,,,,,,,,,,,,,,,,,,
PE,599982,,,,,,,,,,,,,,,,,,,,,,,,,
PE,508603,,,,,,,,,,,,,,,,,,,,,,,,,
PE,512331,,,,,,,,,,,,,,,,,,,,,,,,,
PE,514540,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521780,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521786,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521787,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521788,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521805,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521823,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521824,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521825,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521826,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521827,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521828,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521834,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521835,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521860,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521863,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521865,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521891,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521919,,,,,,,,,,,,,,,,,,,,,,,,,
PE,521941,,,,,,,,,,MARCA FOCO,MARCA FOCO,MARCA FOCO,MARCA FOCO,,,,,,,,,,,,
PE,521995,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522095,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522188,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522189,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522190,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522191,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522192,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522197,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522213,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522257,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522258,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522292,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522313,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522314,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522375,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522386,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522432,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522433,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522532,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522568,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522591,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522592,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522642,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522643,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522644,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522645,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522648,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522649,,,,,,,,,,,,,,,,,,,,,,,,,
PE,522659,,,,,,,,,,,,,,,,,,,,,,,,,
